category,cv_text
Business Analyst,cate taylor business analyst details 8 apple street new york ny 10021 9172344377 cat etadr 4gmailcim skills management communication strategic planning leadership self starter profile experienced passionate business analyst eight years experience evaluating improving business systems well known organizations dedicated team leader ability effectively manage achieve project goals leveraging complex understanding systems engineering concepts proven track record effectively researching analyzing business processes procedures designing implementing business solutions employment history business analyst columbia university new york october 2017 august 2021 managed 10person team business process consultants redesigned implemented user documentation system training within university lead processimprovement focus groups part university initiative achieve functional design within user systems guided efforts improve technology systems real cost effective way worked tirelessly improve universitys overall performance assessing billing workflow customer relationship management productivity business analyst citigroup dallas september 2014 september 2017 lead conducted indepth analysis business performance versus business goals managed reporting business intelligence efforts relations citi private banks global managed investments gmi group oversaw design regulation daily management principal projects managed supported business risk worked develop implement strategic solutions reported necessary information chief operating officer citi private banks global managed investments gmi group worked closely achieve maintain goals education master business administration fairfield university fairfield august 2013 august 2015 graduated summa cum laude president business better tomorrow society bachelor finance villanova university villanova august 2001 may 2013 president business leadership society vice president business without borders graduated magna cum laude references references available upon request
Business Analyst,michelle sanders business analyst 327 uniquetakeoutorg michellesandersyahoocom east frieda saint kitts nevis life philosophy future business analysis lies understanding meeting user needs agile methodologies effective stakeholder collaboration summary experienced business analyst strong track record eliciting highquality requirements fostering stakeholder collaboration driving successful project delivery skilled agile methodologies business modeling effective communication accomplished successful implementation automated testing framework resulting improved software quality efficiency certified business analysis proficient english spanish committed meeting user needs contributing achievement organizational goals enthusiastic joining forwardthinking company like tandem support mission creating fairer greener banking experience ready bring expertise dedication deliver exceptional results strengths effective communication proven ability communicate complex ideas requirements clarity resulting improved collaboration successful project outcomes experience 2022 ongoing london business analyst greenbank problem solving strong analytical skills ability identify address business challenges resulting innovative solutions process improvements led requirement elicitation process documented user stories acceptance criteria resulting 20 increase project efficiency built strong relationships stakeholders levels ensure clear communication mutual commitment applied agile methodology identified promoted use appropriate tools methodologies facilitated requirements gathering sessions refined planning strategies contributed management prioritization product backlog analyzed business situations identify appropriate modeling methods wwwenhancvcom powered enhancu
Business Analyst,yolanda mirr senior business analyst 20 years experience helping businesses increase revenues improve employee satisfaction trim costs dallas tx 535 4634327 yolandamirgmailcom inkedincominyolandami facebookcomyolandami instagramcomyolandamir twittercomyolandami skills analytical skills time management problem solving recommendations communication hobbies sewing baking crossfit tennis education kellogg school management evanston il 20002002 mba gpa 4040 wharton school business philadelphia pa 19901994 business management gpa 3940 work experience senior business analyst chatterbridge dallas tx january 2015present reorganized company xs staff reduced overhead costs 30 investigated causes company xs revenue losses recommended solutions recoup costs upgraded companys software platforms improved customer retention 15 defined company ys yearlong goals mission statement helping investors understand fund company researched ways improve company bs marketing plan launched 7 social media accounts generating 52 leads 3 months reviewed company bs finances reconciled outstanding debts suggested company hire spokesperson negotiated contract made improvements company bs marketing plan resulting 15 savings televised ads provided business management expertise dozen organizations received quality cost productivity award strong performance examined top practices forbes 500 companies implemented 5 startups culminating profit 6 million assistant business analyst king bode hickle seattle wa january 2003december 2014 created new safety protocols improve company als employee satisfaction collaborated renowned television producers create publish ads company b improved company xs revenues 14 installing new sales software recommended staff budget cuts company b resulting savings 3 million per quarter conferred investment experts expand portfolio evaluated startup proposals selected lucrative opportunity proposed policies reduced project cost 10 due efficient use equipment solicited input employees new product design solved company xs internal miscommunication issues implementing new standards memos email chains business analyst macgyverschoen chicago il june 1994 december 2002 coordinated staff create new safety procedures solved company ys financing dilemma attracting new investments worth 4 million surveyed company bs financial data locate discrepancies tax records introduced new staffing measures decrease hiring time 7 3 days observed company brainstorming sessions suggested protocols improve communication assessed company xs revenue losses presented new ways minimize expenses 12 analyzed company bs financial data including revenue expenditure employment reports interviewed employees implemented suggestions improve workplace morale
Category,Text
Civil Engineer,sample resume entrylevel civil engineer kim isaacs monster resume expert youre starting civil engineering career need shore resumes infrastructure check resume sample entrylevel civil engineer impress employers highimpact resume cover letter experts monsters resume writing service search civil engineer jobs earl beckstrom 55 first st apt 1 sometown mi 48103 phone 555 5555555 email ebsomedomaincom civil engineer engineer training eit graduate abetaccredited bachelors civil engineering program backed successful internship experience knowledge engineering theories principles specifications standards highly motivated secure apprenticeship preparation pe exam proficient user autocad civil 3d microstation education credentials national council examiners engineering surveying engineer training eit certification february 2012 abc univeristy sometown mi bachelor science civil engineering december 2011 honors chi epsilon civil engineering honor society deans list 5 semesters activities member american society civil engineers emerging green builders egb planning committee engineering expo course highlights civil engineering design cost estimating surveying structural analysis dynamics geotechnical engineering construction methods traffic materials engineering environmental engineering water resource engineering fluid mechanics hydraulics concrete steel design
Civil Engineer,granger fisher 159 evergreen ln memphis tn 38018 c 5553227337 exampleemailexamplecom summary dedicated civil engineer skilled phases engineering operations consistently finishes projects budget ahead schedule forwardthinking professional familiar aspects construction commercial residential planning advocates sustainable infrastructure green cityplanning committed designing environmentallyconscious costeffective public infrastructure solutions project management operational analysis technical plan execution water piping design materials management highlights erosion sedimentation control land development planning strong technical aptitude complex problem solver critical thinker experience senior civil engineer nelson land development 012011 current memphis tn mentor train junior engineers design piping systems sedimentation control processes plan direct execution technical economical administrative functions various projects oversee technical engineering staff guarantee successful completion project write daily detailed reports logging work progress quality assurance purposes produce issue precise technical specifications data sheets advise project manager regarding construction material costs quantity calculations write daily detailed reports logging work progress quality assurance purposes civil engineer public works department city memphis 102005 122010 memphis tn tested soil determine adequacy strength concrete asphalt steel foundations computed load grade requirements material stress factors determine design specifications implemented complex design software drawing tools plan design transportation systems collaborated contractors clients onsite engineer several large public projects aided departments development plans cost estimates road parking lot drainage projects created detailed public reports regarding bid proposals deeds environmental impact statements prepared standard engineering computations surveys designs produced issued precise technical specifications data sheets bachelor science civil engineering university tennessee recipient arthur michaels scholarship education affiliations american society civil engineers member 2007present licenses licensed registered professional engineer tennessee missouri arkansas kentucky louisiana technical skills autocad civil 3d matman hydsys sansys watsys kypipe microsoft office suite 2005 memphis tn
Civil Engineer,gonzalo hane address 892 andres flats chicago il tel 1 555 208 0301 experience donnelly wilkinson frami los angeles ca engineer civil engineer 052019 present mine safety health administration msha certification experience civil design commercial warehouse andor industrial sites experience structural design steel concrete structures qualified civil engineer experience water wastewater non infrastructure infrastructure design use software packages carrying civil design calculations civil engineer preferably chartered competent knowledge following software autocad civils 3d revit navisworks microdrainage vehicular tracking software homenick ullrich skiles los angeles ca engineer civil engineer 122013012019 implement changes civil design standards procedures deliverables perform quality control reviews civil design projects proficiency hh design software including hydrocad stormcad hydraflow similar software provide technical leadership internal teams suppliers design build ground terminal sites analyze proposed sites verifying technical compliance granting final technical approval education school art institute chicago bachelors engineering skills concrete foundations owners engineering preferably commercial awareness andor experience budgeting planning negotiating organising financial control essential master science civil engineering hydrology hydraulics certification stormwater management california qsp qsd equivalent prior design experience utility scale solar civil infrastructure design prior experience land surveying mapping
Civil Engineer,kate chausson civil engineer pe phone 4352994608 email katechaussongmailcom linkedin linkedincominkatechausson twitter twittercomkatechausson detailoriented civil engineer pe zest solving complex problems seeking use proven project management design skills improve quality cost time metrics nep engineering b smith completed 8 3 million projects 10 budget within specs experience 201407 civil engineer 201808 201401 201406 barthold smith engineering managed 8 projects average budgets 3 million completed projects time least 10 budget found three design flaws ongoing projects preventing catastrophic failure civil engineer asher wolff group 201309 201401 conducted 10 forensic investigations damaged commercial buildings worked independent adjusters fix reimbursements 15 average identified 8 major hidden design defects failed constructions civil engineering experience various consulted bridge volunteer project connect small town guatemala hospital basic services helping 143 residents headed local playground design project management 60000 project education 2009 2013 bs civil engineering university idaho scored top class structural performance independent study project autocad featured constructor blog soft skills problem solving interpersonal skills detail oriented hard skills autocad structural design expert expert expert expert expert
Civil Engineer,kate chausson civil engineer pe phone 4352994608 email katechaussongmailcom linkedin linkedincominkatechausson twitter twittercomkatechausson detailoriented civil engineer pe zest solving complex problems seeking use proven project management design skills improve quality cost time metrics nep engineering b smith completed 8 3 million projects 10 budget within specs experience 201407201808 201401201406 201309201401 education 20092013 certificates conferences 2017 2016 publications 2017 2015 license civil engineer barthold smith engineering managed 8 projects average budgets 3 million completed projects time least 10 budget found three design flaws ongoing projects preventing catastrophic failure civil engineer asher wolff group conducted 10 forensic investigations damaged commercial buildings worked independent adjusters fix reimbursements 15 average identified 8 major hidden design defects failed constructions civil engineering experience various consulted bridge volunteer project connect small town guatemala hospital basic services helping 143 residents headed local playground design project management 60000 project bs civil engineering university idaho scored top class structural performance independent study project autocad featured constructor blog pmp pmi asce week spoke panel green design asce forum article autocad appeared asce magazine article project management linked business insider pe nspe state utah soft skills problem solving interpersonal skills detail oriented hard skills autocad structural design stadd pro expert expert expert expert expert advanced
Consultant,timothy gotsch consultant details address 1800 gallagher circle dallas tx 75212 united states phone 469 8022378 email gotsch tinatyahoocom profile experienced dedicated consultant 10 years experience helping clients meet exceed business goals proven expertise guiding business operations management strategy profitability highly skilled marketing advertising brand enhancement experienced dealing complex issues challenges advising clients way enhances performance employment history consultant tour x oct 2015present dallas provided client optimal guidance business planning based industry expertise predictions market trends skills sales strategies paid marketing strategies market auditing financial report writing analysis project management problem solving skills analytical thinking skills languages dutch english developed specific finance goals strategies achieve outlined problem areas proposed solutions oversaw implementation accepted proposals client satisfaction rose 20 revenue increased 15 year following prepared detailed reports proposals recommendations sales marketing teams attended participated staff meetings regarding marketing goals strategies consultant new wave partners apr 2009 sep 2015 austin worked client assess business progress identify problems shortcomings provided guidance regarding advertising product development product placement increased client retention 50 company provided employees long lasting tools growth communicated well high level executives provided weekly briefings progress growth helped devise new business model steps support conceptualized advanced content marketing initiatives leading increase warm sales leads established nurtured new hr workflows lead better team communication efficiency education bachelor economics baylor university aug 2003may 2007 references references available upon request waco
Consultant,robert smith sap consultant phone 0123456789 email infoqwikresumecom website qwikresumecom summary management cycles experience test scripts execution solution manager hpqc ms excel addons experience investigative case management sap tax management solutions core competencies sap r3 45b 46c 47 microsoft office professional experience sap consultant abc corporation august 2014 december 2014 key deliverables develop energy infrastructure operate utilities provide related products services 32 million consumers worldwide implemented residential lcli scsi rate eligibility rate enrolment dmr integration proposed solution approach various options solutions design within timelines budget constraints performed brf handson configurations formulas validation rules rule sets decision nodes built rate transition eligibility matrix demand voltage rate eligibility matrix rate eligibility enrolments provided solution integration rate transitions residential lcli scsi customers designed functional specifications campaign management target group creation attributes maintenance sap consultant abc corporation january 2014 june 2014 key deliverables clark county dynamic innovative organization dedicated providing topquality service integrity respect accountability residents clark county sap crm customer interaction center initiative provide customer service incidentsservice requests originate constituents across county provide world class customer service performed handson activities development configuration tailoring including fine tuning required conjunction clark county interaction center web client strategy customer service provided adequate deliverable documentation including limited functional report configuration conversion specifications configured interaction center web client using sap best business practices 2259 oak street old forge new york 13420 free resume template copyright qwikresumecom usage guidelines
Consultant,moira lopez cybersecurity consultant contact details 555555555 moiralopez7gmailcom san diego ca core skills siem best practices data loss prevention systems administration cloud infrastructure controls cybersecurity consultation nistciscobit frameworks vulnerability assessments intrusion detection professional profile dedicated cybersecurity consultant enterpriselevel experience designing configuring managing security infrastructure devices firewalls ssl vpns secure web gateways ipss app firewalls ability calculate impact adverse events assessing clients security controls business continuity strategies disaster recovery plans system threats within cloud environments adept information gathering planning execution network security migration upgrade projects career summary jan 2018 present outline iap worldwide services san diego ca cybersecurity consultant determine critical security weaknesses pose vulnerabilities leading provider global logistics facilities management technical services solves publicprivate sector customers demanding business challenges key responsibilities develop strategic roadmaps devise implement secure solutions reduce risks improve overall cyber resilience technology assets controls gather requirements advise customers productservices solutions mitigate threats support governance programs transformational change conduct demonstrations proofs concept presentations client stakeholders provide subject matter expertise thirdparty risk management automate security processes tools review controls cloudbased applications draw cost estimates needed defense upgrades pinpoint potential integration issues project managers deliver complex services including project plan management architectural design system integration knowledge transfer activities perform assigned audit engagements related confidentiality integrity information protection data availability secure endtoend ipsec connections using active directory certificate services drive risk remediation changes previous audit existing suppliers coach personnel towards expertly understanding network conceptsprotocols rip bgp ospf mpls stp vrrp wccp load balancing wan acceleration key achievements outlined incident response plan minimized breaches 70 100 clients optimized efficiency 40 creating awareness campaigns training materials staff best practices related email web browsing social media usage boosted client satisfaction levels 60 due providing ongoing support responding requests users regarding account access issues password resets page 1
Consultant,robert smith strategy consultant summary phone 123 456 78 99 email infoqwikresumecom website wwwqwikresumecom linkedin linkedincomqwikresume address 1737 marshville road alabama accomplished business leader 10 years diverse experience corporate strategy strategic planning product management proven track record advising fortune firms leading business skills advanced ms office lean six sigma black belt pmi project management work experience strategy consultant abc corporation august 2011 august 2014 vp product management coupon advertising leader managed team develop growth strategy developed business model product strategy new consumer analytics targeting platform annual revenue guided executive leadership tearn launching retailer iq wrote business plan secure funding investors drove market assessment product definition designing economic models business cases built bestinclass digital advertising roi model recommended centralized business unit gotomarket plan strategy consultant abc corporation 20092011 new york specialized diverse business technology program management roles citigroups global consumer group division directly supported key initiatives ceo executive management teams citibank managed concierge crm program supported executive sponsor stakeholders redefined govemance model implemented innovative development process modified enhanced testing methodology include business acceptance testing validation phase resulted efficient process identify reduce software defects dummy description data replace job description relevant current role dummy description data replace job description relevant current role education mba strategy finance 2007university washington foster school business seattle wa free resume template copyright qwikresumecom usage guidelines
Consultant,kyisha siemers functional consultant kyishasiemersgmailcom 169 9420226 123 maple st detroit mi 48201 education bachelor business administration management information systems michigan state university east lansing mi sep 2017 may 2022 relevant coursework database management systems analysis design project management cybersecurity business analytics enterprise resource planning programming business applications links linkedincominkyishasiemers skills salesforce workday sap s4hana oracle cloud microsoft dynamics 365 servicenow netsuite languages english bengali hobbies software development reading emerging technologies profile resultsdriven functional consultant 1 year experience providing expert guidance clients optimizing business processes implementing technology solutions proficient analyzing client requirements recommending targeted solutions facilitating change management demonstrated ability collaborate crossfunctional teams ensure timely project completion eager contribute growth efficiency businesses innovative customized strategies employment history functional consultant cognizant technology solutions mi mar 2023 present successfully implemented erp system major automotive client leading 15 reduction operational costs 20 increase efficiency across organization streamlined business processes leading healthcare provider resulting 25 improvement patient data management 10 increase overall customer satisfaction led team 10 consultants successful integration crm solution global retail company increasing sales 12 boosting customer retention 8 oversaw digital transformation financial services firm led 30 increase productivity 20 reduction manual processes 15 growth revenue associate functional consultant deloitte consulting mi sep 2022 jan 2023 successfully led team 5 consultants streamline business processes major automotive client resulting 25 reduction operational costs 15 increase overall efficiency developed implemented customized erp solution large manufacturing client leading 20 improvement production planning accuracy 30 reduction inventory holding costs conducted comprehensive analysis healthcare clients operations identifying areas improvement providing recommendations led 10 increase patient satisfaction 12 reduction administrative costs played key role digital transformation project major financial services client successfully migrating legacy systems cloudbased platform reducing expenses 18 improving system reliability 30 certificates salesforce certified service cloud consultant dec 2021 microsoft dynamics 365 finance operations apps solution architect expert may 2020 memberships association professional consultants apc
Data Science,jeffery gorczany 56009 macgyver parkway philadelphia pa phone 1 555 638 2366 experience murray sons los angeles ca director data science advanced python related programming skills experience directing managing small medium projects 012020 present knowledge levels us education system challenges facing administrators educators students knowledge experience complex data visualization knowledge predictive modeling tools techniques knowledge statistics research design methods experience managing others supervisory andor project management capacity bergstrom inc los angeles ca data science 092016 122019 extensive experience using statistics mathematics algorithms programming languages solve big data challenges fluent structured unstructured data management modern data transformation methodologies effectively creatively tell stories create visualizations describe communicate data insights strong handson experience python focus statistical algorithms development experience aws docker development methodologies advantage active github kaggle member advantage education rhode island school design bachelors computer science skills awareness understanding key skills knowledge liaising managers appropriate undertake skills planning reference industry developments proactively providing sharing key knowledge skills others across analytics digital tools technologies methodologies big data research problem solving etc sharing analytical specialism continually upskilling proven leadership negotiation skills along good analytical problemsolving skills handson experience writing productiongrade ml code hands coding experience pythonrscalajava oop
Data Science,charlotte may senior data scientist cap dasca 17136453682 phoenix az latishahamheycom wwwlinkedincominlhamilton summary eight years experience working data scientist ten years strong academic background analytical modeling programming strive bring highquality business intelligence solutions businesses seeking higher efficiency expertise advanced statistical algorithms machine learning forecasting also worked 1150 high performance parallel processing applications using c c experience senior data scientist marketing team dell 2018 present phoenix az turned data actionable insights providing csuite stakeholders insightful recommendations streamline business operations improve customer experience generated statistical reports visualizations providing key insights 20 marketing campaigns initiatives including ab testing customer retention brand awareness global expansion worked senior leadership develop implement digital marketing strategy identifying implementing new tactics improve campaign performance 50 resulting 250 increase revenue search marketing campaigns senior data scientist metro 20182020 phoenix az designed implemented machine learning system predicts hardware malfunction 80 accuracy created global personalized real time reports system executives stakeholders processes sas tableau proprietary systems worked closely team data engineers bi analysts improve efficiency customer recommendation analytics engine 33 data scientist drouin sarl 20142018 phoenix az collected technical requirements 500k customer accounts defining data rules kpis performance metrics perform hr data collection variety statistical analyses using microsoft excel sas tableau python assisted senior data science team building innovative machine learning models segmentations personalization initiatives drive margin revenue conversion education bs data science uc berkley 20082012 wwwenhancvcom tech stack python java scala r hadoop monbodb rapid miner qlikview hdfs hbase mapreduce flask scikitlearn sas programming spss key accomplishments implemented designed machine learning system predicted malfunctions server hardware 80 accuracy optimized customer recommendations model resulted 22 revenue growth regional stores strengths international internships experience 4 internships singapore norway hardworking studying 2 majors simultaneously time also working alongside deloitte habituated long days solving complex problems due law education gpa 4040 powered enhancu
Data Science,data scientist robert smith phone 123 456 78 99 email infoqwikresumecom website wwwqwikresumecom linkedin linkedincomqwikresume address 1737 marshville road alabama objective hardworking organized data scientist professional proven background delivering sensible business technology solutions time budget working team member tearn leaderampnbsp skills data entry planning skills analyzing skills work experience data scientist best buy february 2015 2019 deployed flagship projects sales forces allocation across points sales based business potential image using various sources data point sales sales data sku sales rep data social network thirdparty data prioritized outlets social media data amp automated updates increase market penetration better calibration route market gathered organized large complex data assets perform relevant analyses modeling ensured analytics model quality assurance validate peer validation defined model monitoring criteria communicated hypotheses findings structured way partnered data analysts present outcomes models data scientist abc corporation march 2014 february 2015 description aim project analyze individual customer behaviors spending activities applying unsupervised supervised machine learning techniques team able predict customer behaviors responsibilities analyzed individual customer behavior segmented customers based spending activities categorized risky customers based days past due parameter categorized active inactive customers based utilization designed developed deployed statistical data models education diploma free resume template copyright qwikresumecom usage guidelines
Data Science,anitra jacobs address 838 jamaal forge houston tx experience predoviczemlak los angeles ca director data science 042018 present deep understanding data domains models implications analytics use least one industry including telecommunications cable finance media advertising similar deep working knowledge sdlc methodologies agilerational hands experience engineering tooling practices processes experience managing project engineering delivery phases strong team building leadership skillsbalance hands effective delegation bogan heaney quigley los angeles ca data science 082012 112017 tel 1 555 215 4527 fluency python scripting unixlinux environment experience machinelearning deeplearning background natural language processing desirable experience webbased user interface generation background protein sciences highly preferable passionate applications analytics enduser productivity experience objectoriented coding languages java python exposure aws lambda aws s3 kafka redshift sage maker education fashion institute technology bachelors computer science skills professional problem solving conflict resolution significant experience nlp problems experience using aiml combine data multiple modalities pursuit novel insights understanding experience developing delivering explainable al solutions experience databases analytics big data systems business intelligence products tableau powerbi aptitude writing machine learning algorithms studying statistics economics computer science mathematics another quantitative field
Data Science,robert smith associate data scientist infoqwikresumecom linkedin profile qwikresumecom career mathematics obtaining analytic position data software development andor strategy experience associate data scientist abc corporation march 2012june 2015 searched organized analyzed clinical data regarding vitro fertilization used statistical analysis determine data behavior used machine learning data create predictive models regarding ivf outcomes live birth pregnancy multiple birth discussed data models research development team make best possible products consumers designed revised forms manuals company documents includes product input forms test results forms files internal external use managed coworkers certain projects regarding qa testing product development data scientist abc corporation 2011 2012 conceptualized built model implements predictive filling clinical fields within emr using historical data making easier physicians document also aiding physicians make better clinical decisions built model data mine clinical data payers providers derive patterns insights developed prototype investigate occurrences medication prescription leading unexpected diagnosis view prevent monitor undesirable impact medication patients conceptualized implemented monitoring algorithm enables early detection adverse events medical practices adverse event detection vast improvement existing methods flag adverse events prototyped model predict diagnosis risks individual patients using existing emr data application machine leaming algorithms model developed proven help assist doctors make better clinical decisions free resume template copyright qwikresumecom usage guidelines
Database,experience 042018 present 022012 112017 michel miller 28516 leigha trail new york ny phone 1 555 896 7059 glover johnson strosin database administration los angeles ca solid experience unixlinux operating system command set competence shell perl andor python scripting good knowledge physical logical disk systems impact database performance advanced knowledge standard database functions concepts dwh applications solid understanding sdlc processes production dbas role configuration change management experience supporting new project development testing nonproduction environment experience enterprise 24x7 environment experience providing teradata platform support data loads sla perspective support users production nonprod environments address escalations necessary jacobson lindgren kozey database administration experience working supporting devops teams dba standpoint los angeles ca experience understanding data model providing design etl code recommendations development phase strong verbal written communication skills necessary due dynamic nature collaborations teams inside outside branch organization possibly vendors solve complex business problems together effective interpersonal relationship skills professional character tact capacity complete tasks minimal supervision work without significant oversight follow provided requirements develop solutions working knowledge distributed source control familiarity osi layers role troubleshooting issues experience aws architecture understanding linux windows oracle patching cycle education oregon state university skills bachelors computer science power bi data management developing dax authorizing devops culture processes tools jira bug trackingwork management tool low codeno code automation automation anywhere rpa microsoft powerapps knowledge python development knowledge mysql mariadb casandra knowledge working experience microsoft azure cloud infrastructure setup implementation sql managed instance database management familiar sql server tools utilities like ssms rsa software advantage oracle ebs 11i r1213
Database,jesse kendall 123 elm street miami fl 33183 305 5555555 email shivaswarnykrgmailcom certified oracle database administrator accomplished oraclecertified dba expertise performance tuning crisis management high availability increase reliability maximize productivity introduce system efficiencies professional experience abc health services miami fl 20xxpresent senior oracle database administrator supporta fiveterabyte data warehouse play lead role enterprisewide database optimization instance resource monitoring perform root cause analysis failures resolve performance tuning related issues reports queries work actively new 10g features awr addm ash performance statistics collection fine tuning database wait events provide oncall support enterprise databases started managed biweekly optimization meetings enterprise user groups address resolve performancerelated issues high degree success successfully set fournode cluster rac data warehouse linux oracle ubl using asmocfs2 identified led established automation repetitive processes minimize errors completely eliminated space errors implementing proactive space monitoring
Database,john doe 6722 south 22nd streetterre haute 47804 home phone xxx xxxxxxxemail jdoeverizonnet objective computer database position active employee involving responsibility working others team member achieve advancement growth company qualifications production supervisor 4 years hands experience supervising 16 employees production packaging depts business owner 7 years hands experience production scheduling purchasing production supplies 29 years manufacturing experience work history 20022009 quality assurance tester xyz steel inc 20021998 production supervisor printing company xyz 19911998 printing company xyz position pressmanmachine operator 8 color 10 inch mark 8 color comco10 inch 19851991 xyz moving storage position manager duties customer contact giving estimates supervising 4 employees loading unloading truck personal property safes machery business 19831983 xyz moving storage position truck driver2 years duties driving truck responsible loading unloading trucks held accountable paperwork 19731983 cbs position machine operator10 years duties production 12 hour shifts filled supervisor vacations education b business 1972 isu terre haute indiana ivy tech terre haute inspecial courses seminars computer proficient windows xp word excel power point ect
Database,stanford buckridge 757 malia junctions chicago il 1 555 599 9966 experience database consultant konopelski fadel ohara boston 022018 present excellent program management organizational design execution planning control competency embrace demonstrate leadership beyond ownership experience designing coding supporting distributed data intensive systems scale experience relational database delivery handson experience etl tools ssis informatica datastage etc experience relational databases oracle sql server mysql etc experience programming languages pythong java go scala etc experience business analysis data analysis process automation development experience big data technology stack experience devops automation tools oozie python etc experience delivering data platforms database consultant greenfelder group boston maintain improve clean manipulate data businesss operational analytics databases transform data meaningful analyses create data enrichment build high performance create manage data stores scale ensure data governance security quality access compliance cloud experience azure db migration experience 042011092017 knowledge database administration activities interact coach developers developing sql scripts schema changes data updates database performance considerations education parsons new school design bachelors computer science data ingestion solutions skills integration aiops tool moogsoft enterprise data lake including hive data warehouse good process improvement automation expert knowledge setting oracle rac asm experience writing sql plsql plpgsql codes experience database upgrades crossplatform migration troubleshooting backup recovery monitoring etc strong scripting knowledge automation shell ansible jenkins etc dr setup fsfo automatic failover
Database,nakamura daisuke phone number 4444444444 email address hellokickresumecom profile resultsoriented knowledgeable database tester experience testing new computer databases identifying defects bugs conducting reports progress projects employee month award winner great analytical skills welldeveloped teamwork abilities nakamura presently looking database tester job company offers flexibility opportunity grow personally professionally 062017 052019 vienna austria work experience database tester ausis technologies inc developed implemented tested new computer databases ensuring efficiency security compliance companys high standards perform adhoc testing developed new testing processes procedures proactively participated weekly team meetings managers identified defects bugs developed solutions responsible test planning managed updated test case spreadsheets conducted reports progress projects ensure assignments completed within budget timely manner awarded employee month twice performing great work 092013 052017 vienna austria 092011 052013 tokyo japan education computer science information systems vienna university technology top 5 programme 2017 academic excellence award winner clubs societies engineering society fintech society golf club ib diploma programme tokyo metropolitan tagara high school graduated distinction grade 1 aexcellent equivalent 6 subjects 2013 best graduate award winner activities physics society riding club swimming club skills languages japanese native english full german professional
Designing,emma frost visual designer efrostemailcom linkedin 123 4567890 pawtucket ri work experience visual designer hasbro 2019current pawtucket ri optimized web graphics hotjar leading 21 reduction page loading time enhancing user experience conducted ab tests landing page designs resulted 12 higher conversion rate winning design designed html email templates contributed 29 increase open rates 16 increase clickthrough rates redesigned mobile app interface using protoio led 33 boost user engagement junior graphic designer gilbane building company 20162019 providence ri supported successful chimpmail marketing campaigns achieving 17 increase open rates 12 improvement clickthrough rates upgraded canva website visuals resulted 28 increase organic website traffic 22 decrease bounce rate elevated brand recognition 44 consistent impactful design solutions across marketing campaigns developed compelling adobe express social media graphics led 39 increase followers 23 boost overall engagement graphic design intern mojo tech 20132016 providence ri boosted email open rates 14 ctr 12 designing engaging hubspot email marketing templates marketing team enhanced brand recognition 27 development cohesive visual identity marketing materials contributed 26 increase conversion rates designing persuasive ad creatives using canva online campaigns increased social media engagement 38 creation eye catching visual content education bachelor fine arts graphic design rhode island school design 20092013 providence ri skills adobe photoshop sketch adobe illustrator invision hotjar figma adobe xd canva zeplin marvel procreate
Designing,pawel wich 5555555555 hellokickresumecom profile detailoriented creative digital designer skilled developing new websites creating short videos designing motion graphics great communicator capability work perform well fastpaced business environments offers excellent multitasking skills extraordinary time management abilities pawel currently seeking digital designer job forwardmoving company work experience 062017 062019 cypress ca united states digital designer ftd companies inc worked development new original websites multiple small companies ensuring clients requirements always fully met created custom logos completed professional presentations produced edited short videos designed motion graphics maintained multiple websites worked closely creative teams proactively participated website user testing trained coordinated new employees communicated managers ensure everything compliance companys high standards recognized executives increasing client satisfaction 75 98 within 2 years education 092013 052017 glenside pa united states web design development arcadia university gpa 398 top 10 program 2016 academic excellence award winner clubs societies engineering society psychology society table tennis club 092009 052013 warsaw poland gymnasium akademeia high school warsaw graduated distinction grade 1 aexcellent equivalent 4 subjects education 2013 best graduate award winner activities basketball team golf club math society skills languages polish native english full german limited computer skills microsoft office codekit backbone adobe photoshop bootstrap html java interpersonal skills ability work pressure communication skills creative detailoriented good team player multitasking time management volunteering 092014 052015 glenside pa united states class representative arcadia university certificates 032019 certified web designer associate web development institute 052016 driving licence driving school
